dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,32,2,19,19,8,32,0,0,0,19,32,0,1
0.962663,0.4775083148020941,0.5484509436378666,0.4547003372491491,10,8,534,354,17.659347,254,252,3997.245117,2576.187012,2,1,106.962556,126.728141,5663.280749,205.144672,255,1041556704,3427710801,255,0.165517,0.074389,0.091128,53,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,0
1.5e-05,0.000981864611348492,0.5484509436378666,0.45188281271223607,1,0,60,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,60,0,0,0,2,2,2,2,2,2,0,0,0,2,2,0,1
3e-06,0.06053796866571197,0.5484509436378666,0.45188281271223607,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,14,2,6,5,5,17,0,0,0,6,14,0,1
5e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,9,9,9,26,0,0,0,9,26,0,1
17.781,0.012694383967276355,0.5484509436378666,0.45188281271223607,22,0,5984,0,1.181036,254,0,2569.934082,0.0,0,0,846.714313,0.0,1094.3595,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,2,2,1,1,3,0,0,0,2,1,0,1
0.59962,0.4775083148020941,0.5484509436378666,0.4547003372491491,12,6,4194,268,28.35129,254,252,51299.15625,2988.55957,3,1,47.800182,91.202602,0.0,129.71632,255,2404136288,374196458,255,0.199745,0.143601,0.056144,350,45,0,0,7,1,1,1,1,1,0,0,0,1,5,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,37,2,18,18,18,37,0,0,0,18,37,0,1
3e-06,0.4775083148020941,0.5484509436378666,0.01487544290631925,2,0,90,0,333333.3215,254,0,119999992.0,0.0,1,0,0.003,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,8,6,5,1,1,7,0,0,0,5,7,0,0
6e-06,0.06053796866571197,0.5484509436378666,0.45188281271223607,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,3,7,0,1
0.998873,0.4775083148020941,0.5484509436378666,0.4547003372491491,122,126,7818,15800,247.278684,31,29,62101.98828,125541.4844,30,32,8.252339,7.986304,506.660868,502.724713,255,2267243167,132440006,255,0.000694,0.000582,0.000112,64,125,0,0,7,0,5,1,1,1,0,0,0,2,5,0,0
8e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,26,2,9,9,9,26,0,0,0,9,26,0,1
9e-06,0.0015368315655889442,0.5484509436378666,0.45188281271223607,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,1
2.017384,0.4775083148020941,0.10482666014677518,0.4547003372491491,112,20,136021,870,64.935578,254,252,534581.375,3279.494629,53,1,18.032135,102.775789,2509.169077,196.694562,255,1566685134,981805996,255,0.165298,0.064641,0.100657,1214,44,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1
1.123884,0.4775083148020941,0.10482666014677518,0.4547003372491491,12,18,1580,10168,25.803376,31,29,10314.23242,68362.92969,3,5,102.140726,66.080409,9645.0785,7765.393006,255,3947591620,1803217001,255,0.000638,0.000513,0.000125,132,565,1,3924,2,0,6,1,1,2,0,0,1,1,4,0,0
0.818467,0.4775083148020941,0.10482666014677518,0.4547003372491491,10,10,860,1182,23.21413,62,252,7565.362793,10399.93066,2,2,90.791,82.210445,6115.341326,132.746016,255,3671159241,174244462,255,0.14067,0.078568,0.062102,86,118,1,127,3,1,2,2,2,3,0,0,4,2,3,0,0
43.513657,0.012694383967276355,0.5484509436378666,0.45188281271223607,42,0,18480,0,0.942233,254,0,3316.659912,0.0,0,0,1061.3085,0.0,1224.316,0.0,0,0,0,0,0.0,0.0,0.0,440,0,0,0,1,2,1,1,1,1,0,0,0,18,1,0,1
0.018893,0.4775083148020941,0.5484509436378666,0.4547003372491491,40,42,2542,23508,4287.302235,31,29,1049701.0,9717462.0,7,14,0.489079,0.448049,29.79458,27.365948,255,3580448762,1447902511,255,0.000653,0.000519,0.000134,64,560,0,0,5,0,2,1,1,1,0,0,0,2,4,0,0
8e-06,0.0005122771885296481,0.5484509436378666,0.45188281271223607,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0,1
1.966476,0.4775083148020941,0.01932682120361854,0.4547003372491491,14,12,912,682,12.713097,254,252,3445.757812,2546.687744,3,4,151.22138,168.650734,9575.866108,261.562578,255,826026201,3095488609,255,0.195677,0.111317,0.08436,65,57,0,0,2,1,1,1,1,2,0,0,0,2,2,0,1
0.179951,0.4775083148020941,0.10482666014677518,0.4547003372491491,10,6,1394,268,83.356026,254,252,55792.96484,9958.266602,2,1,18.271,34.605,972.638966,58.343469,255,2573733040,1200406150,255,0.053846,0.006923,0.046923,139,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0,1
8e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,125000.0003,254,0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,29,2,18,18,18,29,0,0,0,18,29,0,1
5e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,200000.0051,254,0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,41,2,28,28,13,41,0,0,0,28,41,0,1
1e-06,0.06053796866571197,0.5484509436378666,0.45188281271223607,2,0,200,0,1000000.003,254,0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,3,3,3,3,0,0,0,3,3,0,1
9e-06,0.3597621791961129,0.2664656366790467,0.45188281271223607,2,0,114,0,111111.1072,254,0,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,28,2,12,11,11,28,0,0,0,11,28,0,1
0.00139,0.3597621791961129,0.2664656366790467,0.07813779480193889,2,2,146,178,2158.273396,31,29,420143.875,512230.2188,0,0,0.007,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,5,2,1,2,0,0,0,2,2,0,0
